"Day","Cash On Hand"
0,3500000
1,3487400
2,3348520
3,3328783
4,2596673
5,2195658
6,2198682
7,1915862
8,1992368
9,1181397
10,752039
11,357178
12,838918
13,425626
14,641205
15,1589729
16,1348742
17,593535
18,208841
19,1816732
20,2152532
21,1972828
22,2026686
23,1391041
24,1993490
25,2636809
26,1418041
27,1242094
28,1424280
29,2071342
30,2108265
31,2042437
32,2822323
33,2770872
34,2761324
35,2622744
36,2558741
37,3560586
38,2785549
39,2578772
40,702762
41,552992
42,3194395
43,4841060
44,4969531
45,4948280
46,5642515
47,5483186
48,5267785
49,4903325
50,4952137
51,5064931
52,5103616
53,4747480
54,5021478
55,6160048
56,6379674
57,6565272
58,6309816
59,5959607
60,6609500
61,8499783
62,8757298
63,9055714
64,9058601
65,9238694
66,9704108
67,9676354
68,9769344
69,9711437
70,9674340
71,9553309
72,9485544
73,8196374
74,8191653
75,8430131
76,9311773
77,10329993
78,9125045
79,9528012
80,10063107
81,12747395
82,11879629
83,11991259
84,9845874
85,9928897
86,11023355
87,10658928
88,12257813
89,12397597
90,12764832
