"Day ","Items ","Note ","Amount "
"90","Human Resource Expense","Counselled","2000"
"90","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"90","Salary Expense","Cash Payment - Salary Expense","30668"
"90","Rental Expense","Cash Payment - Rental - Chicago","4800"
"90","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"90","Rental Expense","Cash Payment - Rental - New York","4020"
"90","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","270"
"90","Rental Expense","Cash Payment - Rental - Detroit","1000"
"89","Human Resource Expense","Counselled","2000"
"89","Human Resource Expense","Counselled","2000"
"89","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"89","Salary Expense","Cash Payment - Salary Expense","30668"
"89","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 319","15000"
"89","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 322","15000"
"89","Rental Expense","Cash Payment - Rental - Chicago","4800"
"89","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"89","Rental Expense","Cash Payment - Rental - New York","4020"
"89","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","390"
"89","Rental Expense","Cash Payment - Rental - Detroit","1000"
"88","Human Resource Expense","Counselled","2000"
"88","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"88","Salary Expense","Cash Payment - Salary Expense","30668"
"88","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12461","295"
"88","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12606","113"
"88","Rental Expense","Cash Payment - Rental - Chicago","4800"
"88","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"88","Rental Expense","Cash Payment - Rental - New York","4020"
"88","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","510"
"88","Rental Expense","Cash Payment - Rental - Detroit","1000"
"87","Human Resource Expense","Counselled","2000"
"87","Salary Expense","Cash Payment - Salary Expense","30668"
"87","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12453","80"
"87","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 295","15000"
"87","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 298","15000"
"87","Rental Expense","Cash Payment - Rental - Chicago","4800"
"87","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","145"
"87","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"87","Rental Expense","Cash Payment - Rental - New York","4020"
"87","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","630"
"87","Rental Expense","Cash Payment - Rental - Detroit","1000"
"86","Salary Expense","Cash Payment - Salary Expense","30576"
"86","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12315","216"
"86","Rental Expense","Cash Payment - Rental - Chicago","4800"
"86","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","261"
"86","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"86","Rental Expense","Cash Payment - Rental - New York","4020"
"86","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","750"
"86","Rental Expense","Cash Payment - Rental - Detroit","1000"
"85","Human Resource Expense","Counselled","2000"
"85","Salary Expense","Cash Payment - Salary Expense","30488"
"85","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11869","238"
"85","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11881","183"
"85","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11919","133"
"85","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12160","257"
"85","Rental Expense","Cash Payment - Rental - Chicago","4800"
"85","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","377"
"85","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"85","Rental Expense","Cash Payment - Rental - New York","4020"
"85","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","840"
"85","Rental Expense","Cash Payment - Rental - Detroit","1000"
"84","Human Resource Expense","Counselled","2000"
"84","Human Resource Expense","Counselled","2000"
"84","Human Resource Expense","Counselled","2000"
"84","Salary Expense","Cash Payment - Salary Expense","30338"
"84","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12026","134"
"84","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 319","15000"
"84","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 322","15000"
"84","Rental Expense","Cash Payment - Rental - Chicago","4800"
"84","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","493"
"84","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"84","Rental Expense","Cash Payment - Rental - New York","4020"
"84","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","990"
"84","Rental Expense","Cash Payment - Rental - Detroit","1000"
"83","Human Resource Expense","Counselled","2000"
"83","Human Resource Expense","Counselled","2000"
"83","Human Resource Expense","Counselled","2000"
"83","Human Resource Expense","Counselled","2000"
"83","Salary Expense","Cash Payment - Salary Expense","30288"
"83","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11428","194"
"83","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11741","100"
"83","Rental Expense","Cash Payment - Rental - Chicago","4800"
"83","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"83","Rental Expense","Cash Payment - Rental - New York","4020"
"83","Rental Expense","Cash Payment - Rental - Detroit","1000"
"82","Human Resource Expense","Counselled","2000"
"82","Human Resource Expense","Counselled","2000"
"82","Salary Expense","Cash Payment - Salary Expense","30288"
"82","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 295","15000"
"82","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 298","15000"
"82","Rental Expense","Cash Payment - Rental - Chicago","4800"
"82","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"82","Rental Expense","Cash Payment - Rental - New York","4020"
"82","Rental Expense","Cash Payment - Rental - Detroit","1000"
"81","Salary Expense","Cash Payment - Salary Expense","30088"
"81","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11569","214"
"81","Rental Expense","Cash Payment - Rental - Chicago","4800"
"81","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"81","Rental Expense","Cash Payment - Rental - New York","4020"
"81","Rental Expense","Cash Payment - Rental - Detroit","1000"
"80","Human Resource Expense","Counselled","2000"
"80","Human Resource Expense","Counselled","2000"
"80","Salary Expense","Cash Payment - Salary Expense","29188"
"80","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11414","195"
"80","Rental Expense","Cash Payment - Rental - Chicago","4800"
"80","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"80","Rental Expense","Cash Payment - Rental - New York","4020"
"80","Rental Expense","Cash Payment - Rental - Detroit","1000"
"79","Salary Expense","Cash Payment - Salary Expense","29188"
"79","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10848","82"
"79","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11111","93"
"79","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11270","279"
"79","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11283","284"
"79","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 319","15000"
"79","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 322","15000"
"79","Rental Expense","Cash Payment - Rental - Chicago","4800"
"79","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"79","Rental Expense","Cash Payment - Rental - New York","4020"
"79","Rental Expense","Cash Payment - Rental - Detroit","1000"
"78","Salary Expense","Cash Payment - Salary Expense","29188"
"78","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11092","194"
"78","Rental Expense","Cash Payment - Rental - Chicago","4800"
"78","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"78","Rental Expense","Cash Payment - Rental - New York","4020"
"78","Rental Expense","Cash Payment - Rental - Detroit","1000"
"77","Salary Expense","Cash Payment - Salary Expense","29188"
"77","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10800","128"
"77","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10958","184"
"77","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 295","15000"
"77","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 298","15000"
"77","Rental Expense","Cash Payment - Rental - Chicago","4800"
"77","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"77","Rental Expense","Cash Payment - Rental - New York","4020"
"77","Rental Expense","Cash Payment - Rental - Detroit","1000"
"76","Salary Expense","Cash Payment - Salary Expense","29100"
"76","Depreciation Expense","Non-Cash Expense - Depreciation","10000"
"76","Rental Expense","Cash Payment - Rental - Chicago","4800"
"76","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"76","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","140"
"76","Rental Expense","Cash Payment - Rental - New York","4020"
"76","Rental Expense","Cash Payment - Rental - Detroit","1000"
"75","Human Resource Expense","Counselled","2000"
"75","Salary Expense","Cash Payment - Salary Expense","29016"
"75","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10593","204"
"75","Depreciation Expense","Non-Cash Expense - Depreciation","10000"
"75","Rental Expense","Cash Payment - Rental - Chicago","4800"
"75","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"75","Rental Expense","Cash Payment - Rental - New York","4020"
"75","Rental Expense","Cash Payment - Rental - Detroit","1000"
"74","Human Resource Expense","Counselled","2000"
"74","Salary Expense","Cash Payment - Salary Expense","28878"
"74","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10145","112"
"74","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10324","150"
"74","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10471","209"
"74","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 319","15000"
"74","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 322","15000"
"74","Depreciation Expense","Non-Cash Expense - Depreciation","10000"
"74","Rental Expense","Cash Payment - Rental - Chicago","4800"
"74","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"74","Rental Expense","Cash Payment - Rental - New York","4020"
"74","Rental Expense","Cash Payment - Rental - Detroit","1000"
"73","Human Resource Expense","Counselled","2000"
"73","Salary Expense","Cash Payment - Salary Expense","28832"
"73","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10293","109"
"73","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10315","239"
"73","Depreciation Expense","Non-Cash Expense - Depreciation","10000"
"73","Rental Expense","Cash Payment - Rental - Chicago","4800"
"73","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"73","Rental Expense","Cash Payment - Rental - New York","4020"
"73","Rental Expense","Cash Payment - Rental - Detroit","1000"
"72","Human Resource Expense","Counselled","2000"
"72","Human Resource Expense","Counselled","2000"
"72","Human Resource Expense","Counselled","2000"
"72","Salary Expense","Cash Payment - Salary Expense","28832"
"72","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10014","146"
"72","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 295","15000"
"72","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 298","15000"
"72","Depreciation Expense","Non-Cash Expense - Depreciation","10000"
"72","Rental Expense","Cash Payment - Rental - Chicago","4800"
"72","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"72","Rental Expense","Cash Payment - Rental - New York","4020"
"72","Rental Expense","Cash Payment - Rental - Detroit","1000"
"71","Human Resource Expense","Counselled","2000"
"71","Human Resource Expense","Counselled","2000"
