Day,Sales,Trading Profit,Operating Expense,Net Profit
0,0,0,0,0
1,0,0,12600,-12600
2,0,0,151480,-151480
3,0,0,170360,-170360
4,43179,17504,228940,-211436
5,84038,34093,354640,-320547
6,125861,51011,396340,-345329
7,232077,105730,462040,-356310
8,336283,159407,499740,-340333
9,442084,211698,535440,-323742
10,980677,499267,574167,-74900
11,1530401,770187,610602,159585
12,2072807,1067770,681268,386502
13,2456079,1234071,720143,513928
14,2970643,1372270,756791,615479
15,4269315,1694937,793427,901510
16,4412287,1743321,830318,913003
17,4530194,1808146,971509,836637
18,4637911,1735030,1024232,710798
19,6963329,3111193,1128551,1982642
20,7327725,3422001,1177147,2244854
21,7432806,3449769,1228078,2221691
22,7677024,3606729,1311021,2295708
23,7784357,3671282,1362792,2308490
24,9041608,4268429,1472284,2796145
25,9770519,4481763,1523876,2957887
26,9947714,4581134,1638367,2942767
27,10162874,4696755,1724828,2971927
28,10377428,4820447,1777196,3043251
29,11086224,5134057,1858930,3275127
30,11339827,5303958,1915492,3388466
31,11581775,5472394,1968511,3503883
32,12992088,5848416,2053950,3794466
33,13198735,5938343,2110312,3828031
34,13364804,6029994,2196580,3833414
35,13553964,6112520,2253020,3859500
36,13715236,6199433,2308367,3891066
37,14788457,6847694,2399743,4447951
38,15851926,7498340,2455561,5042779
39,18846602,8851070,2581830,6269240
40,19230185,8616935,2642741,5974194
41,19390780,8211749,2701426,5510323
42,22110160,9160648,2799403,6361245
43,24406243,9648007,2865218,6782789
44,24603717,9749505,2954221,6795284
45,24768178,9846425,3011097,6835328
46,25501301,10108051,3069985,7038066
47,25688101,10208521,3155314,7053207
48,25794452,10248918,3214298,7034620
49,25913826,10307162,3301243,7005919
50,26001417,10357976,3360022,6997954
51,26156705,10481395,3417342,7064053
52,26262960,10531671,3504912,7026759
53,26358427,10479170,3563495,6915675
54,26706265,10546692,3651865,6894827
55,27904561,11295098,3731591,7563507
56,28226798,11401458,3789858,7611600
57,28497722,11558810,3878250,7680560
58,28772398,11661503,3935472,7726031
59,28852268,11707253,4025104,7682149
60,29545264,11925210,4084131,7841079
61,31577450,13292318,4186735,9105583
62,31907742,13410393,4275115,9135278
63,32292342,13539870,4336035,9203835
64,32364256,13575802,4420062,9155740
65,32744554,13725141,4471158,9253983
66,33249287,13973711,4520477,9453234
67,33395590,14071351,4601870,9469481
68,33532000,14168068,4655290,9512778
69,33693437,14276073,4734680,9541393
70,33844668,14377767,4787940,9589827
71,33989048,14467675,4842242,9625433
72,34127301,14560858,4928660,9632198
73,34327681,14734780,4981280,9753500
74,34508069,14911570,5064069,9847501
75,34799252,15054573,5116729,9937844
76,35930104,15259265,5167409,10091856
77,37019264,15412102,5238349,10173753
78,37893026,15961065,5279171,10681894
79,38691855,16478692,5350537,11128155
80,40051436,17164470,5395360,11769110
81,42777466,17558539,5437102,12121437
82,43637943,18035756,5512830,12522926
83,44024491,18333277,5562852,12770425
84,44175400,18334819,5642247,12692572
85,44304379,18392700,5688203,12704497
86,45442080,18620533,5731446,12889087
87,45583157,18703190,5806409,12896781
88,47247068,19037199,5871435,13165764
89,47483350,19210339,5967933,13242406
90,47914963,19337818,6032311,13305507
